Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
8:17:09 PM,9.25,-0.77,-0.72,-0.03,-0.07,0.01
8:17:09 PM,9.16,-0.72,-0.80,-0.05,-0.10,0.01
8:17:10 PM,8.86,-0.68,-1.00,0.00,-0.14,0.01
8:17:10 PM,9.01,-0.91,-0.83,0.13,-0.26,0.01
8:17:10 PM,8.84,-1.07,-1.05,0.05,-0.16,0.01
8:17:10 PM,9.15,-1.10,-1.55,-0.18,-0.21,0.01
8:17:10 PM,9.11,-1.07,-1.82,-0.01,-0.07,0.01
8:17:10 PM,8.68,-1.14,-1.84,-0.02,0.03,0.01
8:17:10 PM,9.67,-1.00,-1.38,0.15,0.19,0.01
8:17:10 PM,8.69,-0.90,-1.62,-0.11,-0.10,0.01
8:17:10 PM,9.14,-1.81,-1.20,-0.14,-0.14,0.01
8:17:10 PM,9.81,-1.02,-1.02,0.15,0.04,0.01
8:17:11 PM,9.29,-0.98,-1.04,0.02,0.07,0.01
8:17:11 PM,9.42,-0.85,-0.96,0.08,-0.32,0.01
8:17:11 PM,8.97,-0.64,-1.31,-0.11,-0.19,0.01
8:17:11 PM,8.59,-0.62,-1.32,-0.10,-0.06,0.01
8:17:11 PM,9.17,-0.77,-1.24,-0.14,-0.05,0.01
8:17:11 PM,9.07,-0.73,-1.22,-0.07,-0.07,0.01
8:17:11 PM,8.39,-0.53,-1.27,-0.09,-0.15,0.01
8:17:11 PM,9.22,-0.81,-0.93,-0.06,-0.03,0.01
8:17:11 PM,9.17,-0.69,-1.12,-0.12,-0.09,0.01
8:17:12 PM,9.29,-0.95,-0.82,-0.01,-0.10,0.01
8:17:12 PM,8.88,-0.80,-0.79,0.02,-0.05,0.01
8:17:12 PM,9.20,-0.74,-0.81,-0.01,0.00,0.01
8:17:12 PM,9.07,-0.67,-1.12,0.01,0.03,0.01
8:17:12 PM,9.09,-0.64,-1.24,-0.03,0.01,0.01
8:17:12 PM,9.10,-0.66,-1.34,0.02,-0.07,0.01
8:17:12 PM,9.23,-0.76,-0.81,0.01,-0.11,0.01
8:17:12 PM,9.62,-0.73,-0.91,-0.04,-0.09,0.01
8:17:12 PM,9.19,-0.73,-1.00,-0.00,0.06,0.01
8:17:12 PM,9.48,-0.82,-0.45,0.01,-0.12,0.01
8:17:13 PM,9.35,-0.77,-0.80,0.03,0.04,0.01
8:17:13 PM,9.35,-0.72,-0.99,0.06,0.02,0.01
8:17:13 PM,8.98,-0.79,-0.85,0.04,-0.02,0.01
8:17:13 PM,9.24,-0.70,-0.87,0.15,0.09,0.01
8:17:13 PM,8.67,-0.50,-1.07,-0.05,-0.16,0.01
8:17:13 PM,9.05,-0.61,-0.88,-0.00,-0.13,0.01
8:17:13 PM,9.21,-0.67,-1.18,-0.04,0.02,0.01
8:17:13 PM,9.11,-0.68,-1.06,-0.04,-0.06,0.01
8:17:13 PM,9.36,-0.76,-0.93,-0.09,-0.06,0.01
8:17:14 PM,9.07,-0.79,-0.89,-0.02,0.02,0.01
8:17:14 PM,9.19,-0.73,-0.89,-0.06,-0.07,0.01
8:17:14 PM,8.98,-0.63,-1.02,-0.04,0.01,0.01
8:17:14 PM,8.83,-0.46,-1.39,-0.04,-0.23,0.01
8:17:14 PM,9.07,-0.61,-1.12,-0.03,-0.13,0.01
8:17:14 PM,9.17,-0.70,-1.30,-0.12,-0.15,0.01
8:17:14 PM,8.79,-0.71,-1.22,-0.06,0.01,0.01
8:17:14 PM,9.33,-0.73,-1.09,-0.02,-0.03,0.01
8:17:14 PM,8.85,-0.69,-1.17,-0.07,-0.06,0.01
8:17:14 PM,9.33,-0.68,-1.11,-0.09,-0.06,0.01
8:17:15 PM,9.39,-0.72,-1.04,-0.03,-0.08,0.01
8:17:15 PM,9.26,-0.74,-1.06,0.00,-0.03,0.01
8:17:15 PM,9.35,-0.78,-1.01,0.00,-0.05,0.01
8:17:15 PM,9.18,-0.78,-0.99,-0.01,0.02,0.01
8:17:15 PM,9.37,-0.77,-0.84,-0.01,-0.03,0.01
8:17:15 PM,9.16,-0.68,-1.07,0.04,0.03,0.01
8:17:15 PM,9.18,-0.68,-1.04,0.07,0.03,0.01
8:17:15 PM,9.16,-0.79,-1.02,0.05,0.03,0.01
8:17:15 PM,9.43,-0.71,-0.96,0.02,0.01,0.01
8:17:16 PM,9.10,-0.64,-1.16,-0.00,-0.07,0.01
8:17:16 PM,9.07,-0.59,-1.20,0.04,-0.04,0.01
8:17:16 PM,8.98,-0.81,-0.99,0.03,0.04,0.01
8:17:16 PM,8.86,-0.65,-1.09,-0.06,0.00,0.01
8:17:16 PM,8.93,-0.59,-1.35,-0.03,-0.07,0.01
8:17:16 PM,9.07,-0.63,-1.19,0.00,-0.07,0.01
8:17:16 PM,8.80,-0.69,-1.14,0.06,0.01,0.01
8:17:16 PM,9.33,-0.73,-1.05,0.02,0.03,0.01
8:17:16 PM,8.83,-0.65,-1.23,0.01,0.03,0.01
8:17:16 PM,9.28,-0.75,-0.98,0.06,-0.01,0.01
8:17:17 PM,9.02,-0.71,-1.08,0.01,-0.01,0.01
8:17:17 PM,9.29,-0.82,-1.02,0.02,0.01,0.01
8:17:17 PM,8.92,-0.70,-1.15,-0.01,-0.02,0.01
8:17:17 PM,9.02,-0.72,-1.06,-0.02,0.00,0.01
8:17:17 PM,9.18,-0.72,-1.04,-0.04,-0.02,0.01
8:17:17 PM,9.17,-0.74,-0.90,0.03,-0.04,0.01
8:17:17 PM,9.14,-0.74,-0.99,-0.08,-0.01,0.01
8:17:17 PM,9.16,-0.74,-1.05,-0.06,-0.05,0.01
8:17:17 PM,9.22,-0.75,-1.00,0.02,0.02,0.01
8:17:18 PM,9.32,-0.85,-0.80,-0.02,-0.06,0.01
8:17:18 PM,9.27,-0.78,-0.97,0.01,-0.01,0.01
8:17:18 PM,9.30,-0.78,-0.93,0.02,-0.07,0.01
8:17:18 PM,9.16,-0.72,-1.02,0.04,0.03,0.01
8:17:18 PM,9.45,-0.74,-1.02,-0.02,-0.03,0.01
8:17:18 PM,8.83,-0.70,-1.16,0.00,-0.01,0.01
8:17:18 PM,9.11,-0.72,-1.02,-0.05,0.01,0.01
8:17:18 PM,9.10,-0.72,-1.13,-0.03,-0.10,0.01
8:17:18 PM,9.22,-0.75,-0.99,-0.00,0.01,0.01
8:17:19 PM,9.10,-0.67,-1.07,-0.04,-0.01,0.01
8:17:19 PM,9.22,-0.74,-1.03,-0.01,-0.08,0.01
8:17:19 PM,9.17,-0.85,-0.93,-0.03,-0.03,0.01
8:17:19 PM,9.11,-0.70,-1.06,0.02,-0.03,0.01
8:17:19 PM,8.94,-0.66,-1.18,0.04,-0.02,0.01
8:17:19 PM,9.06,-0.67,-1.16,-0.05,0.00,0.01
8:17:19 PM,8.96,-0.67,-1.35,0.06,0.04,0.01
8:17:19 PM,9.23,-0.62,-1.07,-0.01,-0.09,0.01
8:17:19 PM,8.72,-0.58,-1.16,0.04,0.04,0.01
8:17:19 PM,8.85,-0.56,-1.33,-0.03,0.02,0.01
8:17:20 PM,9.00,-0.58,-1.33,-0.03,-0.09,0.01
8:17:20 PM,9.23,-0.69,-1.04,0.01,-0.07,0.01
8:17:20 PM,9.35,-0.65,-1.02,0.02,-0.08,0.01
8:17:20 PM,8.81,-0.54,-1.34,-0.02,0.01,0.01
8:17:20 PM,8.97,-0.62,-0.98,-0.01,-0.08,0.01
8:17:20 PM,8.94,-0.63,-1.05,-0.02,0.04,0.01
8:17:20 PM,9.33,-0.80,-0.81,0.13,0.01,0.01
8:17:20 PM,9.38,-0.81,-0.68,0.05,0.01,0.01
8:17:20 PM,9.44,-0.73,-0.99,0.07,-0.00,0.01
8:17:21 PM,9.22,-0.83,-1.03,0.08,-0.05,0.01
8:17:21 PM,9.06,-0.62,-1.20,0.02,0.02,0.01
8:17:21 PM,9.02,-0.66,-1.15,-0.02,-0.06,0.01
8:17:21 PM,9.38,-0.72,-0.93,-0.00,-0.01,0.01
8:17:21 PM,9.07,-0.83,-0.89,-0.01,-0.10,0.01
8:17:21 PM,9.32,-0.70,-1.02,-0.05,-0.05,0.01
8:17:21 PM,9.31,-0.88,-0.71,0.05,-0.01,0.01
8:17:21 PM,9.17,-0.79,-0.93,0.09,-0.05,0.01
8:17:21 PM,8.89,-0.65,-1.16,0.03,0.02,0.01
8:17:21 PM,9.27,-0.64,-1.16,0.04,-0.01,0.01
8:17:22 PM,9.00,-0.70,-1.03,0.04,-0.02,0.01
