Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7:11:39 PM,1.81,8.68,3.48,-0.00,-0.16,0.01
7:11:39 PM,1.52,8.81,3.29,0.08,0.18,0.01
7:11:39 PM,1.13,8.78,3.12,0.17,0.19,0.01
7:11:40 PM,1.30,8.88,3.29,0.03,-0.05,0.01
7:11:40 PM,0.69,8.84,3.15,0.02,0.05,0.01
7:11:40 PM,1.66,8.84,3.31,0.08,0.05,0.01
7:11:40 PM,1.12,9.11,2.98,0.08,0.05,0.01
7:11:40 PM,0.85,8.93,3.18,0.04,0.05,0.01
7:11:40 PM,1.29,8.95,3.05,-0.05,-0.12,0.01
7:11:40 PM,1.22,8.95,3.06,0.03,0.06,0.01
7:11:40 PM,1.24,8.82,3.09,0.05,0.14,0.01
7:11:40 PM,1.07,8.90,3.17,-0.01,-0.02,0.01
7:11:40 PM,0.87,8.90,3.18,-0.04,-0.04,0.01
7:11:41 PM,1.48,8.76,3.29,-0.03,-0.08,0.01
7:11:41 PM,1.53,8.84,3.26,0.03,0.16,0.01
7:11:41 PM,0.96,9.12,2.74,0.07,0.10,0.01
7:11:41 PM,1.05,8.86,3.17,0.07,0.16,0.01
7:11:41 PM,0.87,9.05,2.87,-0.02,-0.01,0.01
7:11:41 PM,1.04,8.86,3.15,0.01,-0.01,0.01
7:11:41 PM,1.29,8.80,3.22,-0.07,-0.06,0.01
7:11:41 PM,0.97,8.92,3.25,-0.00,0.05,0.01
7:11:41 PM,1.19,9.20,3.20,0.00,-0.02,0.01
7:11:42 PM,0.35,9.08,2.94,-0.09,-0.04,0.01
7:11:42 PM,1.06,8.88,3.29,-0.05,-0.12,0.01
7:11:42 PM,1.36,8.87,3.13,0.19,0.03,0.01
7:11:42 PM,1.72,8.80,3.73,0.02,-0.10,0.01
7:11:42 PM,1.56,8.66,3.47,0.09,0.05,0.01
7:11:42 PM,1.27,8.63,3.42,0.03,0.06,0.01
7:11:42 PM,1.11,8.96,2.99,0.08,0.08,0.01
7:11:42 PM,1.39,8.78,3.30,0.02,-0.02,0.01
7:11:42 PM,1.06,8.88,3.19,0.06,0.01,0.01
7:11:42 PM,1.09,8.83,3.17,0.02,-0.02,0.01
7:11:43 PM,1.16,8.91,2.98,0.02,0.02,0.01
7:11:43 PM,1.09,9.02,3.04,0.05,0.01,0.01
7:11:43 PM,0.87,9.05,2.89,0.12,0.09,0.01
7:11:43 PM,0.89,9.22,2.84,0.05,0.07,0.01
7:11:43 PM,1.27,8.99,2.93,0.05,0.04,0.01
7:11:43 PM,0.63,9.16,2.66,-0.01,-0.01,0.01
7:11:43 PM,0.96,9.11,2.77,0.01,0.08,0.01
7:11:43 PM,0.85,9.14,2.84,0.02,0.10,0.01
7:11:43 PM,0.90,8.89,3.11,0.03,0.05,0.01
7:11:44 PM,1.02,8.85,3.35,-0.02,-0.10,0.01
7:11:44 PM,1.13,8.78,3.53,-0.01,-0.05,0.01
7:11:44 PM,1.32,8.77,3.49,-0.07,-0.17,0.01
7:11:44 PM,1.17,8.84,3.35,0.05,0.09,0.01
7:11:44 PM,0.95,9.00,3.34,-0.01,-0.10,0.01
7:11:44 PM,1.16,8.78,3.40,-0.02,-0.08,0.01
7:11:44 PM,1.36,8.88,3.49,-0.07,-0.23,0.01
7:11:44 PM,1.78,8.69,3.61,-0.05,-0.15,0.01
7:11:44 PM,1.36,8.84,3.45,0.07,0.01,0.01
7:11:45 PM,1.53,8.70,3.75,-0.03,-0.03,0.01
