Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7:18:21 PM,-0.57,-9.39,-1.25,-0.04,-0.07,0.01
7:18:21 PM,-0.64,-9.49,-1.34,-0.01,-0.01,0.01
7:18:21 PM,-0.60,-9.49,-1.30,0.04,0.00,0.01
7:18:21 PM,-0.52,-9.46,-1.21,0.04,-0.02,0.01
7:18:21 PM,-0.50,-9.48,-1.26,-0.02,-0.04,0.01
7:18:21 PM,-0.49,-9.44,-1.38,-0.01,-0.08,0.01
7:18:21 PM,-0.47,-9.44,-1.27,0.08,0.01,0.01
7:18:22 PM,-0.57,-9.43,-1.00,0.19,0.11,0.01
7:18:22 PM,-0.54,-9.47,-0.91,-0.01,-0.03,0.01
7:18:22 PM,-0.56,-9.48,-1.05,-0.11,-0.09,0.01
7:18:22 PM,-0.69,-9.47,-1.19,-0.17,-0.11,0.01
7:18:22 PM,-0.54,-9.45,-1.34,0.09,0.01,0.01
7:18:22 PM,-0.55,-9.44,-1.13,-0.04,-0.04,0.01
7:18:22 PM,-0.54,-9.48,-1.25,0.03,0.04,0.01
7:18:22 PM,-0.52,-9.48,-1.34,0.02,-0.05,0.01
7:18:22 PM,-0.52,-9.45,-1.08,0.05,0.04,0.01
7:18:23 PM,-0.47,-9.44,-1.26,-0.04,-0.04,0.01
7:18:23 PM,-0.61,-9.44,-1.20,-0.05,-0.03,0.01
7:18:23 PM,-0.62,-9.46,-1.39,0.04,0.04,0.01
7:18:23 PM,-0.38,-9.46,-1.41,0.01,-0.03,0.01
7:18:23 PM,-0.57,-9.44,-1.35,-0.03,-0.04,0.01
7:18:23 PM,-0.47,-9.47,-1.35,0.03,0.03,0.01
7:18:23 PM,-0.58,-9.45,-1.20,0.01,-0.06,0.01
7:18:23 PM,-0.47,-9.45,-1.40,-0.05,-0.08,0.01
7:18:23 PM,-0.63,-9.58,-1.57,-0.07,-0.06,0.01
7:18:23 PM,-0.70,-9.45,-1.57,0.03,0.04,0.01
7:18:24 PM,-0.70,-9.47,-1.53,0.08,0.09,0.01
7:18:24 PM,-0.55,-9.45,-1.32,0.00,-0.03,0.01
7:18:24 PM,-0.44,-9.40,-1.56,-0.09,-0.10,0.01
7:18:24 PM,-0.76,-9.38,-1.55,-0.05,-0.12,0.01
7:18:24 PM,-0.64,-9.43,-1.60,-0.09,0.03,0.01
7:18:24 PM,-0.41,-9.46,-1.80,0.09,-0.01,0.01
7:18:24 PM,-0.07,-9.27,-1.37,0.04,0.01,0.01
7:18:24 PM,-0.55,-9.42,-1.41,-0.07,-0.02,0.01
7:18:24 PM,-0.38,-9.46,-1.59,-0.03,-0.04,0.01
7:18:25 PM,-0.47,-9.50,-1.59,0.02,-0.06,0.01
7:18:25 PM,-0.60,-9.47,-1.44,0.01,-0.01,0.01
7:18:25 PM,-0.61,-9.48,-1.64,-0.02,-0.05,0.01
7:18:25 PM,-0.67,-9.49,-1.77,-0.02,-0.05,0.01
7:18:25 PM,-0.53,-9.29,-1.92,0.04,0.04,0.01
7:18:25 PM,-0.52,-9.53,-1.59,-0.02,-0.01,0.01
7:18:25 PM,-0.58,-9.45,-1.62,-0.04,-0.05,0.01
7:18:25 PM,-0.66,-9.43,-1.65,-0.09,-0.10,0.01
7:18:25 PM,-0.58,-9.38,-1.70,-0.02,-0.05,0.01
7:18:25 PM,-0.70,-9.45,-1.74,-0.01,-0.07,0.01
7:18:26 PM,-0.64,-9.47,-1.91,0.01,-0.03,0.01
7:18:26 PM,-0.88,-9.56,-1.78,-0.04,-0.01,0.01
7:18:26 PM,-0.86,-9.41,-1.83,0.01,-0.02,0.01
7:18:26 PM,-0.62,-9.43,-1.94,0.01,-0.05,0.01
7:18:26 PM,-0.66,-9.47,-1.95,-0.12,-0.14,0.01
7:18:26 PM,-0.95,-9.50,-1.81,-0.06,-0.14,0.01
7:18:26 PM,-0.81,-9.45,-2.19,-0.07,0.03,0.01
7:18:26 PM,-0.83,-9.51,-2.07,-0.04,0.00,0.01
7:18:26 PM,-0.80,-9.39,-2.38,0.03,0.05,0.01
7:18:27 PM,-0.77,-9.38,-2.02,0.02,-0.01,0.01
7:18:27 PM,-0.91,-9.43,-2.07,0.00,-0.02,0.01
7:18:27 PM,-0.87,-9.38,-2.32,-0.02,0.00,0.01
7:18:27 PM,-0.85,-9.44,-2.17,0.04,0.02,0.01
7:18:27 PM,-0.95,-9.39,-1.84,0.04,-0.03,0.01
7:18:27 PM,-0.97,-9.42,-1.94,-0.00,-0.05,0.01
7:18:27 PM,-0.85,-9.15,-2.42,0.09,0.07,0.01
7:18:27 PM,-0.84,-9.45,-2.10,0.06,0.07,0.01
7:18:27 PM,-1.01,-9.35,-1.89,0.05,-0.02,0.01
7:18:27 PM,-0.98,-9.42,-2.02,0.00,-0.01,0.01
7:18:28 PM,-1.08,-9.41,-1.96,0.03,0.00,0.01
7:18:28 PM,-0.90,-9.33,-2.14,0.05,-0.04,0.01
7:18:28 PM,-0.99,-9.39,-1.99,0.00,-0.03,0.01
7:18:28 PM,-0.97,-9.49,-2.12,0.00,-0.02,0.01
7:18:28 PM,-0.94,-9.44,-1.95,0.03,-0.03,0.01
7:18:28 PM,-0.95,-9.42,-1.97,0.07,0.04,0.01
7:18:28 PM,-0.95,-9.43,-1.89,-0.01,-0.02,0.01
7:18:28 PM,-0.85,-9.41,-2.00,-0.02,-0.01,0.01
7:18:28 PM,-0.77,-9.40,-1.98,-0.06,-0.05,0.01
7:18:29 PM,-0.73,-9.36,-2.26,-0.03,-0.06,0.01
7:18:29 PM,-0.86,-9.28,-2.18,0.03,0.00,0.01
7:18:29 PM,-0.87,-9.39,-2.16,0.06,0.01,0.01
7:18:29 PM,-0.77,-9.41,-2.14,-0.05,-0.03,0.01
7:18:29 PM,-0.87,-9.45,-2.06,0.01,-0.00,0.01
7:18:29 PM,-0.65,-9.34,-2.07,0.00,-0.09,0.01
7:18:29 PM,-0.66,-9.38,-1.95,0.02,0.01,0.01
7:18:29 PM,-0.86,-9.44,-2.08,-0.03,-0.05,0.01
7:18:29 PM,-0.76,-9.36,-2.26,0.03,0.04,0.01
7:18:30 PM,-0.85,-9.44,-2.20,0.08,0.01,0.01
7:18:30 PM,-0.83,-9.55,-2.15,0.01,-0.00,0.01
7:18:30 PM,-0.59,-9.34,-2.11,0.06,-0.13,0.01
7:18:30 PM,-0.77,-9.36,-2.04,0.01,-0.01,0.01
7:18:30 PM,-0.80,-9.46,-2.10,0.02,0.01,0.01
7:18:30 PM,-0.88,-9.45,-1.96,0.04,-0.00,0.01
7:18:30 PM,-0.58,-9.25,-1.94,0.05,0.09,0.01
7:18:30 PM,-0.70,-9.46,-2.06,0.01,-0.04,0.01
7:18:30 PM,-0.74,-9.46,-2.08,-0.02,-0.02,0.01
7:18:30 PM,-0.67,-9.43,-2.14,-0.02,-0.00,0.01
7:18:31 PM,-0.75,-9.37,-2.11,0.05,-0.01,0.01
7:18:31 PM,-0.67,-9.39,-2.11,0.02,-0.03,0.01
7:18:31 PM,-0.63,-9.46,-2.05,-0.01,-0.01,0.01
7:18:31 PM,-0.66,-9.43,-2.15,0.03,0.07,0.01
7:18:31 PM,-0.58,-9.42,-1.94,-0.00,-0.04,0.01
7:18:31 PM,-0.68,-9.36,-2.20,-0.01,-0.01,0.01
7:18:31 PM,-0.58,-9.34,-2.17,-0.01,-0.01,0.01
7:18:31 PM,-0.53,-9.32,-2.11,-0.03,-0.06,0.01
7:18:31 PM,-0.60,-9.46,-2.21,-0.05,-0.03,0.01
7:18:32 PM,-0.59,-9.43,-2.21,0.01,-0.00,0.01
7:18:32 PM,-0.66,-9.38,-2.26,0.04,0.04,0.01
7:18:32 PM,-0.64,-9.37,-2.05,0.04,-0.00,0.01
7:18:32 PM,-0.58,-9.42,-2.19,0.04,0.03,0.01
7:18:32 PM,-0.39,-9.40,-2.19,-0.01,-0.01,0.01
7:18:32 PM,-0.55,-9.46,-2.32,-0.00,0.00,0.01
7:18:32 PM,-0.52,-9.46,-2.23,-0.00,0.03,0.01
7:18:32 PM,-0.54,-9.42,-2.49,-0.01,-0.05,0.01
7:18:32 PM,-0.49,-9.39,-2.31,0.03,-0.01,0.01
7:18:32 PM,-0.34,-9.41,-2.28,-0.03,-0.02,0.01
7:18:33 PM,-0.57,-9.41,-2.27,0.02,-0.05,0.01
7:18:33 PM,-0.52,-9.41,-2.24,-0.03,-0.04,0.01
7:18:33 PM,-0.44,-9.38,-2.28,0.03,0.00,0.01
7:18:33 PM,-0.50,-9.34,-2.40,-0.00,-0.02,0.01
7:18:33 PM,-0.54,-9.34,-2.28,-0.06,-0.06,0.01
7:18:33 PM,-0.57,-9.19,-2.81,-0.03,0.01,0.01
7:18:33 PM,-0.62,-9.54,-2.21,0.03,-0.04,0.01
7:18:33 PM,-0.39,-9.43,-2.66,0.03,0.08,0.01
7:18:33 PM,-0.49,-9.32,-2.27,0.24,0.06,0.01
7:18:34 PM,-0.50,-9.45,-1.98,0.08,0.09,0.01
7:18:34 PM,-0.05,-9.44,-2.07,0.03,-0.04,0.01
7:18:34 PM,-0.36,-9.44,-2.07,-0.05,-0.12,0.01
7:18:34 PM,-0.25,-9.33,-2.32,-0.02,-0.04,0.01
7:18:34 PM,-0.38,-9.51,-2.03,0.02,0.02,0.01
7:18:34 PM,-0.36,-9.45,-2.23,0.02,-0.01,0.01
7:18:34 PM,-0.45,-9.39,-2.07,0.04,-0.01,0.01
7:18:34 PM,-0.46,-9.44,-2.30,-0.01,-0.07,0.01
