Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7:50:20 PM,9.11,0.67,-2.21,-0.02,-0.04,0.01
7:50:20 PM,9.14,0.65,-2.23,0.00,0.00,0.01
7:50:20 PM,9.13,0.65,-2.24,0.05,-0.02,0.01
7:50:20 PM,9.10,0.57,-2.28,-0.04,-0.03,0.01
7:50:20 PM,9.17,0.62,-2.22,-0.04,-0.00,0.01
7:50:20 PM,9.11,0.61,-2.20,0.09,0.04,0.01
7:50:20 PM,9.11,0.61,-2.12,-0.05,-0.02,0.01
7:50:20 PM,9.18,0.58,-2.21,-0.01,-0.03,0.01
7:50:21 PM,9.09,0.60,-2.18,-0.03,-0.00,0.01
7:50:21 PM,9.11,0.56,-2.21,-0.04,-0.07,0.01
7:50:21 PM,9.13,0.55,-2.14,-0.04,-0.05,0.01
7:50:21 PM,9.14,0.51,-2.23,0.05,0.00,0.01
7:50:21 PM,9.12,0.51,-2.14,-0.04,-0.02,0.01
7:50:21 PM,9.10,0.48,-2.26,0.03,0.03,0.01
7:50:21 PM,9.10,0.45,-2.08,0.03,0.00,0.01
7:50:21 PM,9.17,0.42,-2.24,0.08,-0.01,0.01
7:50:21 PM,9.12,0.39,-2.22,0.08,0.04,0.01
7:50:22 PM,9.15,0.42,-2.10,0.08,0.03,0.01
7:50:22 PM,9.12,0.43,-2.14,-0.03,-0.02,0.01
7:50:22 PM,9.16,0.48,-2.09,0.05,0.01,0.01
7:50:22 PM,9.14,0.51,-2.03,0.04,-0.02,0.01
7:50:22 PM,9.12,0.50,-2.05,-0.01,-0.01,0.01
7:50:22 PM,9.25,0.61,-2.08,0.07,0.01,0.01
7:50:22 PM,9.13,0.54,-1.98,0.01,-0.02,0.01
7:50:22 PM,9.15,0.46,-2.00,-0.02,-0.01,0.01
7:50:22 PM,9.16,0.54,-2.05,0.04,-0.00,0.01
7:50:22 PM,9.13,0.51,-1.98,-0.02,-0.02,0.01
7:50:23 PM,9.15,0.49,-1.96,0.02,-0.03,0.01
7:50:23 PM,9.11,0.52,-1.92,0.05,0.03,0.01
7:50:23 PM,9.15,0.51,-1.94,-0.04,-0.05,0.01
7:50:23 PM,9.16,0.55,-1.95,0.04,-0.02,0.01
7:50:23 PM,9.18,0.57,-2.03,-0.00,-0.03,0.01
7:50:23 PM,9.22,0.54,-1.97,-0.01,-0.06,0.01
7:50:23 PM,9.17,0.52,-2.01,-0.10,-0.06,0.01
7:50:23 PM,9.15,0.59,-2.06,-0.02,-0.04,0.01
7:50:23 PM,9.20,0.62,-2.09,-0.03,-0.04,0.01
7:50:24 PM,9.21,0.38,-2.03,-0.02,-0.04,0.01
7:50:24 PM,9.17,0.54,-2.03,0.07,0.04,0.01
7:50:24 PM,9.15,0.51,-2.15,-0.01,-0.03,0.01
7:50:24 PM,9.18,0.47,-2.10,0.02,-0.01,0.01
7:50:24 PM,9.15,0.47,-2.04,0.11,0.00,0.01
7:50:24 PM,9.13,0.51,-2.04,0.05,-0.01,0.01
7:50:24 PM,9.16,0.52,-2.09,0.05,0.02,0.01
7:50:24 PM,9.17,0.46,-1.96,0.05,-0.00,0.01
7:50:24 PM,9.14,0.54,-2.03,-0.00,-0.01,0.01
7:50:24 PM,9.20,0.53,-1.93,0.05,0.01,0.01
7:50:25 PM,9.05,0.48,-1.91,0.01,0.01,0.01
7:50:25 PM,9.15,0.57,-1.87,0.01,-0.02,0.01
7:50:25 PM,9.19,0.52,-1.83,0.02,0.12,0.01
7:50:25 PM,9.19,0.66,-1.76,0.00,-0.02,0.01
7:50:25 PM,9.10,0.61,-1.75,-0.03,-0.03,0.01
7:50:25 PM,9.22,0.68,-1.83,-0.06,-0.04,0.01
7:50:25 PM,9.18,0.63,-1.81,0.03,-0.01,0.01
7:50:25 PM,9.16,0.69,-1.77,-0.07,0.01,0.01
7:50:25 PM,9.17,0.69,-1.78,0.04,-0.03,0.01
7:50:26 PM,9.16,0.69,-1.79,-0.02,0.01,0.01
7:50:26 PM,9.15,0.73,-1.81,0.04,-0.01,0.01
7:50:26 PM,9.19,0.75,-1.80,-0.01,-0.02,0.01
7:50:26 PM,9.18,0.72,-1.80,0.02,-0.03,0.01
7:50:26 PM,9.22,0.71,-1.84,-0.05,-0.01,0.01
7:50:26 PM,9.18,0.66,-1.77,-0.04,0.03,0.01
7:50:26 PM,9.16,0.65,-1.74,-0.08,-0.06,0.01
7:50:26 PM,9.13,0.65,-1.73,0.03,0.01,0.01
7:50:26 PM,9.17,0.59,-1.80,-0.03,-0.05,0.01
7:50:26 PM,9.11,0.57,-1.77,0.07,0.01,0.01
7:50:27 PM,9.20,0.60,-1.88,0.04,-0.01,0.01
7:50:27 PM,9.18,0.59,-1.74,0.06,0.03,0.01
7:50:27 PM,9.17,0.62,-1.74,0.02,0.01,0.01
7:50:27 PM,9.20,0.65,-1.69,0.05,0.03,0.01
7:50:27 PM,9.20,0.63,-1.65,-0.01,-0.04,0.01
7:50:27 PM,9.16,0.61,-1.63,0.01,-0.01,0.01
7:50:27 PM,9.19,0.68,-1.58,0.05,0.01,0.01
7:50:27 PM,9.09,0.64,-1.65,0.03,0.01,0.01
7:50:27 PM,9.18,0.66,-1.64,0.01,-0.03,0.01
7:50:28 PM,9.14,0.64,-1.58,-0.03,-0.02,0.01
7:50:28 PM,9.19,0.67,-1.62,-0.01,-0.07,0.01
7:50:28 PM,9.16,0.60,-1.58,0.01,-0.00,0.01
7:50:28 PM,9.25,0.54,-1.54,0.12,0.06,0.01
7:50:28 PM,9.15,0.63,-1.51,0.04,-0.01,0.01
7:50:28 PM,9.17,0.59,-1.60,0.03,-0.02,0.01
