Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7:52:54 PM,-10.37,0.85,0.08,0.03,-0.02,0.01
7:52:55 PM,-10.26,0.83,0.10,0.05,-0.04,0.01
7:52:55 PM,-10.38,0.88,0.07,0.02,-0.00,0.01
7:52:55 PM,-9.90,1.03,0.26,-0.04,0.04,0.01
7:52:55 PM,-10.41,0.85,0.06,0.02,0.00,0.01
7:52:55 PM,-10.36,0.86,0.07,-0.00,0.00,0.01
7:52:55 PM,-10.35,0.85,0.04,0.02,-0.01,0.01
7:52:55 PM,-10.34,0.88,-0.02,-0.00,0.01,0.01
7:52:55 PM,-10.35,0.86,0.06,0.00,-0.01,0.01
7:52:55 PM,-10.37,0.91,0.05,0.00,-0.02,0.01
7:52:56 PM,-10.35,0.85,0.09,-0.00,-0.02,0.01
7:52:56 PM,-10.37,0.87,0.07,0.01,-0.05,0.01
7:52:56 PM,-10.40,0.87,0.09,0.03,-0.01,0.01
7:52:56 PM,-10.33,0.88,0.11,0.04,0.00,0.01
7:52:56 PM,-10.39,0.83,-0.02,-0.03,-0.01,0.01
7:52:56 PM,-10.36,0.88,0.08,0.00,-0.02,0.01
7:52:56 PM,-10.35,0.85,0.08,-0.01,-0.02,0.01
7:52:56 PM,-10.35,0.89,0.13,0.02,-0.01,0.01
7:52:56 PM,-10.36,0.86,0.14,0.01,-0.02,0.01
7:52:56 PM,-10.34,0.86,0.05,0.02,-0.01,0.01
7:52:57 PM,-10.04,0.79,0.09,-0.01,-0.01,0.01
7:52:57 PM,-10.41,0.84,0.04,0.02,-0.01,0.01
7:52:57 PM,-10.43,0.92,0.08,0.03,-0.03,0.01
7:52:57 PM,-10.40,0.89,0.02,0.02,-0.01,0.01
7:52:57 PM,-10.40,0.82,0.01,0.03,-0.02,0.01
7:52:57 PM,-10.37,0.88,0.05,-0.01,-0.01,0.01
7:52:57 PM,-10.39,0.89,-0.03,0.02,-0.01,0.01
7:52:57 PM,-10.40,0.86,-0.00,-0.00,-0.03,0.01
7:52:57 PM,-10.38,0.91,0.05,0.01,0.00,0.01
7:52:58 PM,-10.36,0.86,-0.01,-0.01,-0.01,0.01
7:52:58 PM,-10.31,0.90,0.04,0.03,-0.03,0.01
7:52:58 PM,-10.34,0.89,0.04,-0.00,-0.01,0.01
7:52:58 PM,-10.31,0.93,0.04,0.01,-0.01,0.01
7:52:58 PM,-10.34,1.07,-0.13,-0.02,-0.02,0.01
7:52:58 PM,-10.45,0.86,0.04,0.07,0.02,0.01
