Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7:06:10 PM,-0.75,-0.86,8.66,0.01,0.01,0.01
7:06:11 PM,-0.78,-0.87,8.63,0.02,0.03,0.01
7:06:11 PM,-0.83,-0.86,8.59,0.01,0.03,0.01
7:06:11 PM,-0.87,-0.81,8.64,0.01,-0.08,0.01
7:06:11 PM,-0.68,-0.87,8.66,0.02,-0.02,0.01
7:06:11 PM,-0.53,-0.91,8.71,0.01,-0.01,0.01
7:06:11 PM,-0.72,-0.85,8.59,0.01,0.01,0.01
7:06:11 PM,-0.71,-0.85,8.60,-0.01,-0.09,0.01
7:06:11 PM,-0.73,-0.85,8.61,0.00,-0.07,0.01
7:06:11 PM,-0.44,-0.96,8.71,0.02,0.05,0.01
7:06:12 PM,-0.47,-0.92,8.71,0.02,0.00,0.01
7:06:12 PM,-0.65,-0.84,8.65,0.00,-0.02,0.01
7:06:12 PM,-0.74,-0.88,8.65,0.00,0.01,0.01
7:06:12 PM,-0.81,-0.84,8.60,0.00,-0.04,0.01
7:06:12 PM,-0.71,-0.83,8.67,0.03,-0.02,0.01
7:06:12 PM,-0.60,-0.90,8.65,0.03,-0.01,0.01
7:06:12 PM,-0.59,-0.86,8.66,0.00,-0.02,0.01
7:06:12 PM,-0.76,-0.84,8.69,-0.00,-0.00,0.01
7:06:12 PM,-0.86,-0.79,8.64,0.02,0.02,0.01
7:06:12 PM,-0.68,-0.88,8.64,0.01,-0.05,0.01
7:06:13 PM,-0.62,-0.88,8.62,0.02,-0.02,0.01
7:06:13 PM,-0.57,-0.91,8.66,0.00,-0.02,0.01
7:06:13 PM,-0.38,-0.91,8.68,0.02,0.01,0.01
7:06:13 PM,-0.63,-0.87,8.68,0.01,-0.05,0.01
7:06:13 PM,-0.75,-0.88,8.60,0.02,-0.01,0.01
7:06:13 PM,-0.64,-0.89,8.68,0.02,0.01,0.01
7:06:13 PM,-0.56,-0.89,8.71,0.01,-0.02,0.01
7:06:13 PM,-0.65,-0.83,8.63,0.03,-0.03,0.01
7:06:13 PM,-0.64,-0.85,8.65,0.01,0.00,0.01
7:06:14 PM,-0.68,-0.86,8.65,0.00,-0.05,0.01
7:06:14 PM,-0.83,-0.79,8.62,0.01,-0.01,0.01
